post_number,post_link,board,content,date
1051324,https://theqoo.net/beauty/4277570397?page=1,beauty,"비회원은 작성한 지 1시간 이내의 댓글은 읽을 수 없습니다.
로그인 후에 바로 열람 가능합니다 ^^",26.07.13
1051312,https://theqoo.net/beauty/4277489920?page=1,beauty,난데 걍 큰 차이 못느껴서 쁘아거 씀 ㅋㅋㅋㅋ 퍽퍽쓰기 좋음,26.07.13
1051315,https://theqoo.net/beauty/4277506094?page=1,beauty,엄청싸다,26.07.13
1051315,https://theqoo.net/beauty/4277506094?page=1,beauty,오 ㄱㄱ!! 나 싸게샀을때 2만원대 초반이었어(사은품이 있긴했지만),26.07.13
1051315,https://theqoo.net/beauty/4277506094?page=1,beauty,ㄷㄴ싸,26.07.13
1051315,https://theqoo.net/beauty/4277506094?page=1,beauty,ㅇㅋ 좋았어 당장 산다,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,어딕션 생각나는 질감이네 존예,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,인스타 봤는데 루미나이저 샤이차이래,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,@2 고마워 이것도 품절이네ㅠㅠ,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,샤이차이있는데 걍 무색이나다름없어 ㅋㅋ 아무 글로스써도될듯 베이스에 백퍼다른 립이나 틴트바르샸으듯,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,와 미친..,26.07.13
1051318,https://theqoo.net/beauty/4277542482?page=1,beauty,갈월음 흉내도 내면 안되겠지..,26.07.13
1051317,https://theqoo.net/beauty/4277538306?page=1,beauty,페이백 포함해서 아닐까,26.07.13
1051317,https://theqoo.net/beauty/4277538306?page=1,beauty,"따로 뭐가 더 있긴 해야할 거 같은데 페이백이 좀 센 거 같아서 난 걍 2.2로 샀어 이거 페이백이 쿠폰전 기준이라고 써있더라고..?
암튼 덬딜방에도 이거 2.2로 나와있는거 보면 최대 혜택가가 어케나왔는진 몰겠음..",26.07.13
1051317,https://theqoo.net/beauty/4277538306?page=1,beauty,"다른 쿠폰이나 등급별 쿠폰이 또 있나 싶은?
페이백은 아무리 생각해도 금액이 안맞더라고... 쿠폰적용가가 22680인데 여기서 20퍼면 4500정돈데 그럼 체감가가 더 낮은디
그리고 페이백은 쿠폰 사용전 판매가에서 산정된다는데 그럼 페이백 더 나올거고",26.07.13
1051311,https://theqoo.net/beauty/4277488105?page=1,beauty,오 잘사땅 이거 향도조아!,26.07.13
1051311,https://theqoo.net/beauty/4277488105?page=1,beauty,@1 맞아 나 사실 향이 너무 좋아서 초록색으로 재구매했어ㅋㅋ,26.07.13
1051310,https://theqoo.net/beauty/4277487827?page=1,beauty,50퍼 사용가능 했던때까지만 쓰고 탈주함,26.07.13
1051310,https://theqoo.net/beauty/4277487827?page=1,beauty,"비회원은 작성한 지 1시간 이내의 댓글은 읽을 수 없습니다.
로그인 후에 바로 열람 가능합니다 ^^",26.07.13
1051309,https://theqoo.net/beauty/4277478301?page=1,beauty,에스트라 클렌징 선크림,26.07.12
1051309,https://theqoo.net/beauty/4277478301?page=1,beauty,에스쁘아 블러셔 이니스프리 포어블러파우더,26.07.12
1051309,https://theqoo.net/beauty/4277478301?page=1,beauty,프리메라 신상 세럼,26.07.13
1051308,https://theqoo.net/beauty/4277469521?page=1,beauty,촵촵,26.07.12
1051308,https://theqoo.net/beauty/4277469521?page=1,beauty,챶챶챱,26.07.12
1051308,https://theqoo.net/beauty/4277469521?page=1,beauty,@1 @2 땽큐!!,26.07.12
